qid,Label,Questions
03aff7dbab33c85711aa,3,Why does RSS encourages revenge in the mind of Hindus towards the minority community?
03b02975f3c15a415627,1,Why Indian women are so particular about their husbands looks?
03b11e1b1f1b2d3f2769,1,Are women more sensitive to pain than men?
03b12973c050fa54d7a3,2,You really had sex with your mom?
03b14ec051477956c78f,1,"Why are senegalese people so mean, superficial and self absorbed?"
03b17770d968bd523984,3,Why not deter Djihaddists who want to die killing all who do not share their opinion by sentencing them to an arctic island dressed in only a burka?
03b1be513e471cb1f0ac,5,"Who are these vocabulary police on Quora? I was a certified teacher, with a background in English and math. I also have a psychology background/master’s level. I know I’m not the only one who gets these inaccurate corrections. Why?"
03b352b4af6ed6fb3c9c,2,Why do I find my dog so sexy?
03b42e0d3632c5132093,1,Why does Brahman hate the lower caste?
03b4538bedda6731652b,1,"Will someone explain why atheists are so aggressive towards theists, to the point of spamming all religion questions on Quora?"
03b456e37e67ba9d504f,1,Why do black women cause a majority of public freakouts?
03b5bdd1431fbe58da3a,1,Why do westerners like to mock Asians being smaller in size when it's obvious that westerners have higher standards of living since the past?
03b711e1f33bb96f2e2b,1,Why women think that wearing skin tight dresses and exposing their body is a sign of freedom?
03b77c3f4fb6da69fa94,1,Do Malayali women have a higher sex drive than other Indian women?
03b9012f94edd2409368,4,"Would you as a rabbi, accept someone who transitioned from male to female? Would you use the right pronouns and name? How would you see the said person, as a male or as a female?"
03b95f1f5ec8c5f43331,1,Doe's girls are weaker than boys in case of thinking and living style?
03b9611e726dd9c9ae4b,3,"Do you think the cow is your mother? If so, is it healthy to obsess over the properties of cow dung and urine?"
03bc53a4c30b53929f8a,4,"People are saying that the sun is red, and the cities are going dark. Is it Nibiru?"
03bfc505504b75abf70a,1,Is Barrack Obama more supportive of Islam than Christianity?
03bfc53ab4feaef16bfe,3,"If an ordinary person cannot get a celebrity like Cristiano Ronaldo to respond on Facebook, how do unbelievers expect the gods of different religions to respond to their mockery and insults to prove their existence?"
03c08caa0ffeeecf1785,1,Do girls enjoy rejecting nice guys?
03c1ccb1522005fdc7ea,4,Is the coronation of Ambani Ji as Emperor of India happening in 2019?
03c2733a507569fd6bf1,1,Why do you think Trump hasn’t condemned or criticized Russia for any of their actions over the past year?
03c2cfccfab6c0138ea5,1,"Why do Keralites hate Narendra Modi, despite the fact, that he has dedicated his life to the nation?"
03c2e75514c5f9fc5768,0,"My son got all A's and A-'s with one B-minus and I grounded him the whole summer, was I being irrational?"
03c40eb51a56c12387a3,3,How can the supposedly Christian president of supposedly Christian america possibly tolerate the deplorable treatment of the Palestinian people by Israel?
03c4340b27bbae075221,4,What can I do to be gay without being gay?
03c4b47e666e0eb3a798,1,"What is Jesus Christ waiting for before he returns? Why the hold up? If you're Jewish, when will the Moshiach arrive? If you're Muslim, is the Mahdi close? If you're atheist, why do you even care and/or why are you commenting?"
03c5354a1dca2746265b,1,"Why would Democrats rather hassle Congress with ""investigating"" Trump when they could be fixing healthcare?"
03c5993d2c4898c57e49,1,Is it OK to be white?
03c6d78adb000b6c1096,3,"Does Donald Trump really think he could have “saved the day” at Parkland High School? With his bone spurs and aversion to walking, would that have been possible?"
03c74b4c581029a2fc75,1,Why do people who push for gun control usually know the least about guns?
03c7f0f214381f42fa98,3,Why if only 1.6 percent of the population at the peak of slavery when they speak about racist they seem to want to Encompass the whole population?
03c810ba37e84760c23a,3,"Is it true that in real life, Taliban and jihadists get killed easily like in the movies?"
03c81f74e6b5c9eec6f2,3,Why is the South Korean obsess with the British flag design?
03c821814cba041b0410,1,Why did Americans elect a cheeto with hair?
03c86ec1e4cd10751a48,3,"Why do black people who mate always give birth to black people, but intelligent people who mate do not always give birth to intelligent people?"
03c93106441934b29259,3,"Do all women really praise and worship the almighty God the same way as a man? Do they really mean what they are praying for? I don't think so, because my wife is wicked, and tortured me all my life."
03c9a1f3e41da43fe711,1,What if the Bible was actually true?
03c9a60e88bcc990f124,0,Why do most of the people of Tamil Nadu have dark coloured skin?
03ca64f24914750fc7e9,3,Are French people dirty?
03caf1dc07895d205aff,1,Do women who earn more and more intelligent look down on their husbands? Do you develop dominant mentality towards your partner?
03cceed10cc8ab4941f0,3,Trump's approval rating is rising in the US. What's wrong with the people or the rest of the people & the world who do not approve of him?
03cd04fe02de32bfeb0d,3,Do you ever call your skinny gay friends fat?
03cd0fadc3e32510f9dd,1,Why do the lowest kind of people want to suck the life out of you?
03cd82ccbdb8a130e528,1,Do the Chinese often try to blame Vietnam for everything wrong with China?
03ce2fae01b546e4350c,3,Why don't south Indians want to grow? And when you question them on development they take it as an linguistic offence?
03ce8b3465b1f3a3e4ad,4,What is the fullest half glass?
03cef8b9e678283307c3,2,Do men support rape? Do they secretly want to be sexually abused by a women?
03cf8a93bea0062c234b,1,Why does Justin Trudeau wear false eyebrows?
03cfad635fcc94b3a1c1,3,How did Xi Jinping took years and all kind of dirty methods to kill all his enemies and make himself as a dictator in China?
03d07209e9f78b64fe91,1,Do Jehovah's witnesses marry younger women?
03d0dfe344fdf8ce4528,2,Are trans people really men or women?
03d1353c22b9a738ac3c,1,Are most liberals now denying the science behind chromosomes by rejecting gender?
03d26072ddf748b67ada,1,"In male-male interactions, there are clearly defined boundaries, the breach of which causes violence. In male-female interactions, there is no such recourse since you can't hit a woman. How can we ensure women remain civil in discussions with men?"
03d308e5f11d2ac5001d,1,Why is Bihar Police so uncooperative and corrupt?
03d33986db4826c83e5a,3,Is it a violation of BNBR to call transgender a mental illness?
03d38176958529462dd7,3,If Latinos love blond women why do not they clone white women?
03d3c9d692c368d7f6bc,3,Is Justin Trudeau starting to look like a grovelling suckhole on the world stage?
03d3fa268d0fc4ccb648,1,"As an Indian, will you be automatically supporting Saudi Arabia in the upcoming World Cup as a gratitude towards Arabian people for providing jobs to crores of Indians and for the billions of dollars in remittances India received from Saudi Arabia?"
03d400560d37802cf78b,1,"What do you think of the Zionist cyber industry (a part of the Zionist military), whereby they violate the privacy rights of the Palestinians?"
03d4600d7d99dc23b5b7,1,Do women care about how the men in their lives feel? Do they care if they hurt their feelings?
03d6350efb1c9f4422d0,1,Are the African people the best because they can be happy and poor?
03d69dd2c14231b8f211,2,How many gallons of cum have ever been ejaculated in the history of mankind?
03d738a1c90945919bc3,3,How many Hungarians think Romanian history is fake?
03d7d8368a4e5f6e418c,3,"As the majority of the culture is against the LGBTQ community, can anyone provide proof that this community has committed a crime at any higher rate than society in general?"
03d820167746059d8221,5,"Mountains can be moved but Chinese army cannot. Is it immuture General of Chinese, fond of Hindi movie dialogue?"
03d87f2252ba2e52691a,5,Who actually writes most of these crap & stupid questions on Quora?
03daabe71c1df066b693,0,"Are there any current-day movies that depict the Nazis as good, and the Jews as evil?"
03dac204da3d838d6bc5,5,I'm 12 and my bf is 31 and we both want to take it to the next level. Is this a bad idea?
03dc1c20f91c00ca3e80,3,"Considering their appalling record of terrible activities (Nixon, etc.), arrests, prison time, giving in to the NRA and absolute inactivity as a Congressional majority under both Democratic and Republican POTUS, how can anyone be a Republican today?"
03ddfbace4155f29fe04,1,Do Americans always have sex?
03de10c427d5456abf1f,2,Is it still generally acceptable to make jokes about “white girls”?
03de621be35a30d31dff,2,How do I start with incest sex? I have a sister and a mother. And I know it's weird but I want to have sex with either of them. How do I approach and convince them?
03de82efdef2e0b4fcb6,2,Should we allow homosexuals around children?
03df215fdfeb3889ed3e,1,How did China government encourage Chinese to kidnap young Vietnamese girls from Vietnam through local agencies in order to solve their one-child policy problems for decades?
03df26aba57555cfaf83,1,Why do Democrats want to separate undocumented-immigrant-children from their families?
03dfb01a0373de76d76a,1,"Why do armchair commandos whose only experience of war is a CoD game think that they know so much about which country has the ""best special forces""? What are some ways we can get these delinquent children and drunkards to be quiet?"
03e188bfdf4cf0852298,3,Can a Muslim marry a goat to fulfill sexual needs due to the shortage of 25 million women in Pakistan due to female infanticide?
03e1938644bf303cce6b,1,"Will a Trumpian ""Saturday Night Massacre"" occur just before the North Korean summit?"
03e1f088f651616db32d,1,"Why do girls ignore good guys, fall for bad guys and complain when they get hurt?"
03e2bca11ba683851ebf,3,What would you do if Trump sexually harassed your favorite pet during a private meeting with you and the pet in the Oval Office?
03e2c1dbd1d389278ac6,1,Are Christians inherently less intelligent than atheists?
03e2ea69279258a31e9d,3,"Why is there “Gay pride” but no ""Down syndrome pride"" or ""OCD pride""?"
03e4d0e6dcf239cb01f1,3,"What does it feel like for Donald Trump knowing that he will never be respected, admired, or loved as Obama?"
03e4eeb4c67e232e19f4,3,Why is President Obama pardoning terrorist from Gitmo?
03e64f86ec48985e5862,1,Should we force prisoners to work in the fields instead of them being lazy all day in prision?
03e6ba98d4d87ee40aba,5,Wнy are мoѕт вoyѕ мore ѕтυpιd тнan gιrlѕ?
03e7c5f3e60ec834566d,1,Is it normal not to want to be a girl's father? A girl gives a lot of work. I'd rather have a boy which gives less work. Is it normal?
03e9f5a4c4166346b771,1,Why are parents today so lazy?
03eb9602f910d8245eee,1,Do Asian-Americans face more racism from whites or blacks?
03ec11afc1c9964d6d2e,1,"With the knowledge of widespread sexual abuse by powerful men, and the willingness to suppress the truth how can we trust the media? ""'everybody at NBC knew' about Lauer's alleged sexual misconduct""."
03ed603f959e7cc55cf6,3,"Is India destined to remain in the grip of superstition because of 100 percent control of Hindu religion by Brahmins? When can India get freedom from vice like grip of India's exploiter Brahmins, Khatriyas & Vaishyas?"
03ef17b95ad309d78657,3,Why do liberals sympathize more with criminals than with victims of crime?
03ef916fd8e6fa83f07a,2,How do you seduce a jain ca?
03f04bd0abe6b8ce6ba1,3,How many Israeli children have to die in order for the world to see that Hamas is evil?
03f171072182d732d237,1,Does this video mean that Trump is Jewish?
03f183434a5aabbb7f48,1,Why is no one Protesting against AP Government for interferring in Venkateswara Temple rituels are Hindus Ignorant?
03f2eaa2913ec0b36408,3,Why do Trump voters want Russia to control the United States?
03f3b2dce6cb1e83f382,3,"Why are the American Police so cruel and deadly towards black community? Is it a racial crisis what USA is living today, especially after the death of Stephon Clark?"
03f4e132bb0302aa1dcb,1,Why are New Zealand females like getting married before 22 years or getting pregnate before they hit 19 years?
03f548b2ee047b21d2f3,3,"What do you think about D. Trump with his mind, political actions, and other features? Do you think he is a normal human being?"
03f54e2b5016728dc8b4,2,Are there certain instances where rape is acceptable?
03f57dc5136cb02a1224,1,When will China relax its visa regime towards Pakistani citizens? This is hurting Chinese tourism hugely.
03f7915c7436a814548b,1,Why do people hate Donald Trump? To me it seems like his economic policy is good for all.
03f96fbf040c42b48581,3,How do you get a liberal to realize how stupid their beliefs are?
03fb0e05e50b4237eb9e,1,Did Trump sexually abuse Chelsea Clinton?
03fbbe0c673f7e66f1e5,3,"Why are there never any female sewer workers, coal miners, tree trimmers or construction workers? Do women really feel too good for these jobs?"
03fc715198f15c52c38a,1,Why do people older than 50 on Quora write answers without bluntness and clarity? There is some sort of overburdening writing style.
03fdbf7047d365dcec81,1,Does the Prime Minister think Trump is smart enough to understand your laws just because you say you are satisfied with them?
03fde464628c4c4353b5,2,Why aren't the Japanese having sex?
